Fold,DT,KNN,RB,NN,SGD,XGB,RF
1,0.743357984,0.820131471,0.533853739,0.586003835,0.562612983,0.761709121,0.855546426
2,0.742837579,0.823746919,0.532374692,0.582141879,0.559408381,0.760805259,0.853190907
3,0.741659819,0.822788277,0.550013695,0.580060257,0.566584497,0.760093125,0.855217749
4,0.746274789,0.826668128,0.536731675,0.578119864,0.560233374,0.760052591,0.853703298
5,0.743645228,0.821436398,0.540785581,0.583433768,0.559219897,0.761613893,0.852278953
6,0.741043059,0.821518571,0.552892517,0.580338556,0.56168511,0.758847376,0.854004602
7,0.744302619,0.822422483,0.536704284,0.583378985,0.554755122,0.762682152,0.852251561
8,0.74301523,0.82192944,0.538156021,0.579681166,0.558535116,0.764051715,0.849402871
9,0.743919141,0.820587269,0.534376027,0.583899419,0.566642928,0.761148241,0.850964172
10,0.747452613,0.823271612,0.542757752,0.58085899,0.560452504,0.761586502,0.854607209
